#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2016 02 02 18 00 340  9.0 12.0   1.9     8    MM  MM 1021.5    MM   7.1    MM   MM +1.1    MM
2016 02 02 17 00 340 11.0 13.0   2.0    10    MM  MM 1021.5    MM   7.0    MM   MM +1.9    MM
2016 02 02 16 00 340 11.0 13.0   1.9    10    MM  MM 1021.0    MM   7.1    MM   MM +2.3    MM
2016 02 02 15 00 340 10.0 13.0   2.0     9    MM  MM 1020.4    MM   7.2    MM   MM +2.7    MM
2016 02 02 14 00 340 11.0 13.0   2.0     9    MM  MM 1019.6    MM   7.3    MM   MM +2.5    MM
2016 02 02 13 00 340 11.0 12.0   2.0    10    MM  MM 1018.7    MM   7.3    MM   MM +2.6    MM
2016 02 02 12 00 350 10.0 12.0   2.0    10    MM  MM 1017.7    MM   7.4    MM   MM +2.4    MM
2016 02 02 11 00 350 10.0 12.0   2.2     9    MM  MM 1017.1    MM   7.4    MM   MM +2.4    MM
2016 02 02 10 00 340 11.0 14.0   2.3    10    MM  MM 1016.1    MM   7.5    MM   MM +2.9    MM
2016 02 02 09 00 340 10.0 13.0   2.2     8    MM  MM 1015.3    MM   7.5    MM   MM +2.6    MM
2016 02 02 08 00 330  9.0 12.0   2.3    10    MM  MM 1014.7    MM   7.5    MM   MM   MM    MM
2016 02 02 07 00 330  9.0 11.0   2.3     9    MM  MM 1013.2    MM   7.5    MM   MM +1.2    MM
2016 02 02 06 00 340  8.0 10.0   2.5    10    MM  MM 1012.7    MM   7.5    MM   MM +0.9    MM
2016 02 02 04 00 290  7.0  8.0   2.5     9    MM  MM 1012.0    MM   7.5    MM   MM +0.6    MM
2016 02 02 03 00 260  8.0   MM    MM    MM    MM  MM 1011.8    MM    MM    MM   MM +0.6    MM
2016 02 02 02 00 250  7.0  9.0   3.0     9    MM  MM 1011.5    MM   7.2    MM   MM +0.9    MM
2016 02 02 01 00 240  9.0 11.0   3.0     9    MM  MM 1011.4    MM   7.2    MM   MM +1.8    MM
2016 02 02 00 00 240 10.0 12.0   3.5    10    MM  MM 1011.2    MM   7.2    MM   MM +1.7    MM
2016 02 01 23 00 240  8.0  9.0   3.8     9    MM  MM 1010.6    MM   7.3    MM   MM +1.1    MM
2016 02 01 22 00 220 10.0 13.0   3.9    10    MM  MM 1009.6    MM   7.4    MM   MM +0.5    MM
2016 02 01 21 00 230 11.0 13.0   3.4     9    MM  MM 1009.5    MM   7.4    MM   MM +0.0    MM
2016 02 01 20 00 240  8.0  9.0   3.4     9    MM  MM 1009.5    MM   7.6    MM   MM -0.5    MM
2016 02 01 19 00 210 10.0 12.0   3.3     9    MM  MM 1009.1    MM   7.6    MM   MM -1.5    MM
2016 02 01 18 00 210  9.0 11.0   2.7     8    MM  MM 1009.5    MM   7.7    MM   MM -1.9    MM
2016 02 01 17 00 210  9.0 11.0   2.6     8    MM  MM 1010.0    MM   7.8    MM   MM -1.8    MM
2016 02 01 16 00 200 10.0 11.0   2.1     8    MM  MM 1010.6    MM   7.8    MM   MM -1.5    MM
2016 02 01 15 00 210 10.0 11.0   2.2     8    MM  MM 1011.4    MM   7.8    MM   MM -1.2    MM
2016 02 01 14 00 200 10.0 12.0   2.1     8    MM  MM 1011.8    MM   7.9    MM   MM -1.1    MM
2016 02 01 13 00 200  9.0 10.0   2.1     8    MM  MM 1012.1    MM   7.9    MM   MM -0.7    MM
2016 02 01 12 00 200  8.0  9.0   2.2     8    MM  MM 1012.6    MM   8.7    MM   MM -0.7    MM
2016 02 01 11 00 220  8.0  9.0   2.3     8    MM  MM 1012.9    MM   8.7    MM   MM -0.6    MM
2016 02 01 10 00 210  8.0 10.0   2.2     8    MM  MM 1012.8    MM   8.9    MM   MM -1.1    MM
2016 02 01 09 00 200  6.0  8.0   2.4     9    MM  MM 1013.3    MM   8.9    MM   MM -0.7    MM
2016 02 01 08 00 220  6.0  8.0   2.2     8    MM  MM 1013.5    MM   8.4    MM   MM -0.6    MM
2016 02 01 07 00 220  7.0  9.0   2.3     7    MM  MM 1013.9    MM   7.7    MM   MM -0.4    MM
2016 02 01 06 00 220  6.0  8.0   2.2    10    MM  MM 1014.0    MM   7.6    MM   MM -0.2    MM
